Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
SRR898242	GSM1158376: SEQC_ILM_AGR_A_1_L02_ATCACG_BD0J2JACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	20923	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR898/SRR898242/SRR898242.sra	SRR898242.sra	SRR898242_GSM1158376_SEQC_ILM_AGR_A_1_L02_ATCACG_BD0J2JACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR898/SRR898242/SRR898242_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR898/SRR898242/SRR898242_1.fastq.gz	SRR898242_1.fastq.gz	SRR898242_GSM1158376_SEQC_ILM_AGR_A_1_L02_ATCACG_BD0J2JACXX_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR898242	GSM1158376: SEQC_ILM_AGR_A_1_L02_ATCACG_BD0J2JACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	20923	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR898/SRR898242/SRR898242.sra	SRR898242.sra	SRR898242_GSM1158376_SEQC_ILM_AGR_A_1_L02_ATCACG_BD0J2JACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR898/SRR898242/SRR898242_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR898/SRR898242/SRR898242_2.fastq.gz	SRR898242_2.fastq.gz	SRR898242_GSM1158376_SEQC_ILM_AGR_A_1_L02_ATCACG_BD0J2JACXX_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR898244	GSM1158378: SEQC_ILM_AGR_A_1_L03_ATCACG_BD0J2JACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	20631	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR898/SRR898244/SRR898244.sra	SRR898244.sra	SRR898244_GSM1158378_SEQC_ILM_AGR_A_1_L03_ATCACG_BD0J2JACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR898/SRR898244/SRR898244_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR898/SRR898244/SRR898244_1.fastq.gz	SRR898244_1.fastq.gz	SRR898244_GSM1158378_SEQC_ILM_AGR_A_1_L03_ATCACG_BD0J2JACXX_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR898244	GSM1158378: SEQC_ILM_AGR_A_1_L03_ATCACG_BD0J2JACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	20631	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR898/SRR898244/SRR898244.sra	SRR898244.sra	SRR898244_GSM1158378_SEQC_ILM_AGR_A_1_L03_ATCACG_BD0J2JACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR898/SRR898244/SRR898244_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR898/SRR898244/SRR898244_2.fastq.gz	SRR898244_2.fastq.gz	SRR898244_GSM1158378_SEQC_ILM_AGR_A_1_L03_ATCACG_BD0J2JACXX_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR898243	GSM1158377: SEQC_ILM_AGR_A_1_L03_ATCACG_AC0C1TACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	18861	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR898/SRR898243/SRR898243.sra	SRR898243.sra	SRR898243_GSM1158377_SEQC_ILM_AGR_A_1_L03_ATCACG_AC0C1TACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR898/SRR898243/SRR898243_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR898/SRR898243/SRR898243_1.fastq.gz	SRR898243_1.fastq.gz	SRR898243_GSM1158377_SEQC_ILM_AGR_A_1_L03_ATCACG_AC0C1TACXX_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR898243	GSM1158377: SEQC_ILM_AGR_A_1_L03_ATCACG_AC0C1TACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	18861	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR898/SRR898243/SRR898243.sra	SRR898243.sra	SRR898243_GSM1158377_SEQC_ILM_AGR_A_1_L03_ATCACG_AC0C1TACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR898/SRR898243/SRR898243_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR898/SRR898243/SRR898243_2.fastq.gz	SRR898243_2.fastq.gz	SRR898243_GSM1158377_SEQC_ILM_AGR_A_1_L03_ATCACG_AC0C1TACXX_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR898245	GSM1158379: SEQC_ILM_AGR_A_1_L04_ATCACG_AC0C1TACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	18821	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR898/SRR898245/SRR898245.sra	SRR898245.sra	SRR898245_GSM1158379_SEQC_ILM_AGR_A_1_L04_ATCACG_AC0C1TACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR898/SRR898245/SRR898245_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR898/SRR898245/SRR898245_1.fastq.gz	SRR898245_1.fastq.gz	SRR898245_GSM1158379_SEQC_ILM_AGR_A_1_L04_ATCACG_AC0C1TACXX_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR898245	GSM1158379: SEQC_ILM_AGR_A_1_L04_ATCACG_AC0C1TACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	18821	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR898/SRR898245/SRR898245.sra	SRR898245.sra	SRR898245_GSM1158379_SEQC_ILM_AGR_A_1_L04_ATCACG_AC0C1TACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR898/SRR898245/SRR898245_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR898/SRR898245/SRR898245_2.fastq.gz	SRR898245_2.fastq.gz	SRR898245_GSM1158379_SEQC_ILM_AGR_A_1_L04_ATCACG_AC0C1TACXX_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR898247	GSM1158381: SEQC_ILM_AGR_A_1_L05_ATCACG_AC0C1TACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	18842	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR898/SRR898247/SRR898247.sra	SRR898247.sra	SRR898247_GSM1158381_SEQC_ILM_AGR_A_1_L05_ATCACG_AC0C1TACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR898/SRR898247/SRR898247_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR898/SRR898247/SRR898247_1.fastq.gz	SRR898247_1.fastq.gz	SRR898247_GSM1158381_SEQC_ILM_AGR_A_1_L05_ATCACG_AC0C1TACXX_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR898247	GSM1158381: SEQC_ILM_AGR_A_1_L05_ATCACG_AC0C1TACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	18842	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR898/SRR898247/SRR898247.sra	SRR898247.sra	SRR898247_GSM1158381_SEQC_ILM_AGR_A_1_L05_ATCACG_AC0C1TACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR898/SRR898247/SRR898247_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR898/SRR898247/SRR898247_2.fastq.gz	SRR898247_2.fastq.gz	SRR898247_GSM1158381_SEQC_ILM_AGR_A_1_L05_ATCACG_AC0C1TACXX_Homo_sapiens_RNA-Seq_2.fastq.gz
