Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
SRR896663	GSM1156797: SEQC_ILM_BGI_A_1_L01_ATCACG_AC0AYTACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	11457	1437537600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR896/SRR896663/SRR896663.sra	SRR896663.sra	SRR896663_GSM1156797_SEQC_ILM_BGI_A_1_L01_ATCACG_AC0AYTACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR896/SRR896663/SRR896663_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR896/SRR896663/SRR896663_1.fastq.gz	SRR896663_1.fastq.gz	SRR896663_GSM1156797_SEQC_ILM_BGI_A_1_L01_ATCACG_AC0AYTACXX_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR896663	GSM1156797: SEQC_ILM_BGI_A_1_L01_ATCACG_AC0AYTACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	11457	1437537600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR896/SRR896663/SRR896663.sra	SRR896663.sra	SRR896663_GSM1156797_SEQC_ILM_BGI_A_1_L01_ATCACG_AC0AYTACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR896/SRR896663/SRR896663_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR896/SRR896663/SRR896663_2.fastq.gz	SRR896663_2.fastq.gz	SRR896663_GSM1156797_SEQC_ILM_BGI_A_1_L01_ATCACG_AC0AYTACXX_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR896665	GSM1156799: SEQC_ILM_BGI_A_1_L02_ATCACG_AC0AYTACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	11142	1437537600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR896/SRR896665/SRR896665.sra	SRR896665.sra	SRR896665_GSM1156799_SEQC_ILM_BGI_A_1_L02_ATCACG_AC0AYTACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR896/SRR896665/SRR896665_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR896/SRR896665/SRR896665_1.fastq.gz	SRR896665_1.fastq.gz	SRR896665_GSM1156799_SEQC_ILM_BGI_A_1_L02_ATCACG_AC0AYTACXX_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR896665	GSM1156799: SEQC_ILM_BGI_A_1_L02_ATCACG_AC0AYTACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	11142	1437537600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR896/SRR896665/SRR896665.sra	SRR896665.sra	SRR896665_GSM1156799_SEQC_ILM_BGI_A_1_L02_ATCACG_AC0AYTACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR896/SRR896665/SRR896665_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR896/SRR896665/SRR896665_2.fastq.gz	SRR896665_2.fastq.gz	SRR896665_GSM1156799_SEQC_ILM_BGI_A_1_L02_ATCACG_AC0AYTACXX_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR896664	GSM1156798: SEQC_ILM_BGI_A_1_L01_ATCACG_BC0AYPACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	12209	1437537600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR896/SRR896664/SRR896664.sra	SRR896664.sra	SRR896664_GSM1156798_SEQC_ILM_BGI_A_1_L01_ATCACG_BC0AYPACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR896/SRR896664/SRR896664_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR896/SRR896664/SRR896664_1.fastq.gz	SRR896664_1.fastq.gz	SRR896664_GSM1156798_SEQC_ILM_BGI_A_1_L01_ATCACG_BC0AYPACXX_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR896664	GSM1156798: SEQC_ILM_BGI_A_1_L01_ATCACG_BC0AYPACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	12209	1437537600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR896/SRR896664/SRR896664.sra	SRR896664.sra	SRR896664_GSM1156798_SEQC_ILM_BGI_A_1_L01_ATCACG_BC0AYPACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR896/SRR896664/SRR896664_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR896/SRR896664/SRR896664_2.fastq.gz	SRR896664_2.fastq.gz	SRR896664_GSM1156798_SEQC_ILM_BGI_A_1_L01_ATCACG_BC0AYPACXX_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR896668	GSM1156802: SEQC_ILM_BGI_A_1_L03_ATCACG_BC0AYPACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	12385	1437537600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR896/SRR896668/SRR896668.sra	SRR896668.sra	SRR896668_GSM1156802_SEQC_ILM_BGI_A_1_L03_ATCACG_BC0AYPACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR896/SRR896668/SRR896668_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR896/SRR896668/SRR896668_1.fastq.gz	SRR896668_1.fastq.gz	SRR896668_GSM1156802_SEQC_ILM_BGI_A_1_L03_ATCACG_BC0AYPACXX_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR896668	GSM1156802: SEQC_ILM_BGI_A_1_L03_ATCACG_BC0AYPACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	12385	1437537600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR896/SRR896668/SRR896668.sra	SRR896668.sra	SRR896668_GSM1156802_SEQC_ILM_BGI_A_1_L03_ATCACG_BC0AYPACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR896/SRR896668/SRR896668_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR896/SRR896668/SRR896668_2.fastq.gz	SRR896668_2.fastq.gz	SRR896668_GSM1156802_SEQC_ILM_BGI_A_1_L03_ATCACG_BC0AYPACXX_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR896667	GSM1156801: SEQC_ILM_BGI_A_1_L03_ATCACG_AC0AYTACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	11417	1437537600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR896/SRR896667/SRR896667.sra	SRR896667.sra	SRR896667_GSM1156801_SEQC_ILM_BGI_A_1_L03_ATCACG_AC0AYTACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR896/SRR896667/SRR896667_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR896/SRR896667/SRR896667_1.fastq.gz	SRR896667_1.fastq.gz	SRR896667_GSM1156801_SEQC_ILM_BGI_A_1_L03_ATCACG_AC0AYTACXX_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR896667	GSM1156801: SEQC_ILM_BGI_A_1_L03_ATCACG_AC0AYTACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	11417	1437537600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR896/SRR896667/SRR896667.sra	SRR896667.sra	SRR896667_GSM1156801_SEQC_ILM_BGI_A_1_L03_ATCACG_AC0AYTACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR896/SRR896667/SRR896667_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR896/SRR896667/SRR896667_2.fastq.gz	SRR896667_2.fastq.gz	SRR896667_GSM1156801_SEQC_ILM_BGI_A_1_L03_ATCACG_AC0AYTACXX_Homo_sapiens_RNA-Seq_2.fastq.gz
