Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
SRR897049	GSM1157183: SEQC_ILM_CNL_A_1_L02_ATCACG_AD0FD7ACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	13090	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR897/SRR897049/SRR897049.sra	SRR897049.sra	SRR897049_GSM1157183_SEQC_ILM_CNL_A_1_L02_ATCACG_AD0FD7ACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR897/SRR897049/SRR897049_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR897/SRR897049/SRR897049_1.fastq.gz	SRR897049_1.fastq.gz	SRR897049_GSM1157183_SEQC_ILM_CNL_A_1_L02_ATCACG_AD0FD7ACXX_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR897049	GSM1157183: SEQC_ILM_CNL_A_1_L02_ATCACG_AD0FD7ACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	13090	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR897/SRR897049/SRR897049.sra	SRR897049.sra	SRR897049_GSM1157183_SEQC_ILM_CNL_A_1_L02_ATCACG_AD0FD7ACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR897/SRR897049/SRR897049_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR897/SRR897049/SRR897049_2.fastq.gz	SRR897049_2.fastq.gz	SRR897049_GSM1157183_SEQC_ILM_CNL_A_1_L02_ATCACG_AD0FD7ACXX_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR897053	GSM1157187: SEQC_ILM_CNL_A_1_L04_ATCACG_AD0FD7ACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	13769	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR897/SRR897053/SRR897053.sra	SRR897053.sra	SRR897053_GSM1157187_SEQC_ILM_CNL_A_1_L04_ATCACG_AD0FD7ACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR897/SRR897053/SRR897053_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR897/SRR897053/SRR897053_1.fastq.gz	SRR897053_1.fastq.gz	SRR897053_GSM1157187_SEQC_ILM_CNL_A_1_L04_ATCACG_AD0FD7ACXX_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR897053	GSM1157187: SEQC_ILM_CNL_A_1_L04_ATCACG_AD0FD7ACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	13769	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR897/SRR897053/SRR897053.sra	SRR897053.sra	SRR897053_GSM1157187_SEQC_ILM_CNL_A_1_L04_ATCACG_AD0FD7ACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR897/SRR897053/SRR897053_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR897/SRR897053/SRR897053_2.fastq.gz	SRR897053_2.fastq.gz	SRR897053_GSM1157187_SEQC_ILM_CNL_A_1_L04_ATCACG_AD0FD7ACXX_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR897054	GSM1157188: SEQC_ILM_CNL_A_1_L04_ATCACG_BD0FG1ACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	13817	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR897/SRR897054/SRR897054.sra	SRR897054.sra	SRR897054_GSM1157188_SEQC_ILM_CNL_A_1_L04_ATCACG_BD0FG1ACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR897/SRR897054/SRR897054_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR897/SRR897054/SRR897054_1.fastq.gz	SRR897054_1.fastq.gz	SRR897054_GSM1157188_SEQC_ILM_CNL_A_1_L04_ATCACG_BD0FG1ACXX_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR897054	GSM1157188: SEQC_ILM_CNL_A_1_L04_ATCACG_BD0FG1ACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	13817	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR897/SRR897054/SRR897054.sra	SRR897054.sra	SRR897054_GSM1157188_SEQC_ILM_CNL_A_1_L04_ATCACG_BD0FG1ACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR897/SRR897054/SRR897054_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR897/SRR897054/SRR897054_2.fastq.gz	SRR897054_2.fastq.gz	SRR897054_GSM1157188_SEQC_ILM_CNL_A_1_L04_ATCACG_BD0FG1ACXX_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR897047	GSM1157181: SEQC_ILM_CNL_A_1_L01_ATCACG_AD0FD7ACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	13440	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR897/SRR897047/SRR897047.sra	SRR897047.sra	SRR897047_GSM1157181_SEQC_ILM_CNL_A_1_L01_ATCACG_AD0FD7ACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR897/SRR897047/SRR897047_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR897/SRR897047/SRR897047_1.fastq.gz	SRR897047_1.fastq.gz	SRR897047_GSM1157181_SEQC_ILM_CNL_A_1_L01_ATCACG_AD0FD7ACXX_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR897047	GSM1157181: SEQC_ILM_CNL_A_1_L01_ATCACG_AD0FD7ACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	13440	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR897/SRR897047/SRR897047.sra	SRR897047.sra	SRR897047_GSM1157181_SEQC_ILM_CNL_A_1_L01_ATCACG_AD0FD7ACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR897/SRR897047/SRR897047_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR897/SRR897047/SRR897047_2.fastq.gz	SRR897047_2.fastq.gz	SRR897047_GSM1157181_SEQC_ILM_CNL_A_1_L01_ATCACG_AD0FD7ACXX_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR897052	GSM1157186: SEQC_ILM_CNL_A_1_L03_ATCACG_BD0FG1ACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	12931	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR897/SRR897052/SRR897052.sra	SRR897052.sra	SRR897052_GSM1157186_SEQC_ILM_CNL_A_1_L03_ATCACG_BD0FG1ACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR897/SRR897052/SRR897052_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR897/SRR897052/SRR897052_1.fastq.gz	SRR897052_1.fastq.gz	SRR897052_GSM1157186_SEQC_ILM_CNL_A_1_L03_ATCACG_BD0FG1ACXX_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR897052	GSM1157186: SEQC_ILM_CNL_A_1_L03_ATCACG_BD0FG1ACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	12931	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR897/SRR897052/SRR897052.sra	SRR897052.sra	SRR897052_GSM1157186_SEQC_ILM_CNL_A_1_L03_ATCACG_BD0FG1ACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR897/SRR897052/SRR897052_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR897/SRR897052/SRR897052_2.fastq.gz	SRR897052_2.fastq.gz	SRR897052_GSM1157186_SEQC_ILM_CNL_A_1_L03_ATCACG_BD0FG1ACXX_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR897055	GSM1157189: SEQC_ILM_CNL_A_1_L05_ATCACG_AD0FD7ACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	12892	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR897/SRR897055/SRR897055.sra	SRR897055.sra	SRR897055_GSM1157189_SEQC_ILM_CNL_A_1_L05_ATCACG_AD0FD7ACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR897/SRR897055/SRR897055_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR897/SRR897055/SRR897055_1.fastq.gz	SRR897055_1.fastq.gz	SRR897055_GSM1157189_SEQC_ILM_CNL_A_1_L05_ATCACG_AD0FD7ACXX_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR897055	GSM1157189: SEQC_ILM_CNL_A_1_L05_ATCACG_AD0FD7ACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	12892	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR897/SRR897055/SRR897055.sra	SRR897055.sra	SRR897055_GSM1157189_SEQC_ILM_CNL_A_1_L05_ATCACG_AD0FD7ACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR897/SRR897055/SRR897055_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR897/SRR897055/SRR897055_2.fastq.gz	SRR897055_2.fastq.gz	SRR897055_GSM1157189_SEQC_ILM_CNL_A_1_L05_ATCACG_AD0FD7ACXX_Homo_sapiens_RNA-Seq_2.fastq.gz
