Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
SRR898111	GSM1158245: SEQC_ILM_COH_A_1_L01_ATCACG_AC03KTACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	25938	1437537600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR898/SRR898111/SRR898111.sra	SRR898111.sra	SRR898111_GSM1158245_SEQC_ILM_COH_A_1_L01_ATCACG_AC03KTACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR898/SRR898111/SRR898111_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR898/SRR898111/SRR898111_1.fastq.gz	SRR898111_1.fastq.gz	SRR898111_GSM1158245_SEQC_ILM_COH_A_1_L01_ATCACG_AC03KTACXX_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR898111	GSM1158245: SEQC_ILM_COH_A_1_L01_ATCACG_AC03KTACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	25938	1437537600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR898/SRR898111/SRR898111.sra	SRR898111.sra	SRR898111_GSM1158245_SEQC_ILM_COH_A_1_L01_ATCACG_AC03KTACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR898/SRR898111/SRR898111_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR898/SRR898111/SRR898111_2.fastq.gz	SRR898111_2.fastq.gz	SRR898111_GSM1158245_SEQC_ILM_COH_A_1_L01_ATCACG_AC03KTACXX_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR898116	GSM1158250: SEQC_ILM_COH_A_1_L06_ATCACG_AC03KTACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	26397	1437537600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR898/SRR898116/SRR898116.sra	SRR898116.sra	SRR898116_GSM1158250_SEQC_ILM_COH_A_1_L06_ATCACG_AC03KTACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR898/SRR898116/SRR898116_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR898/SRR898116/SRR898116_1.fastq.gz	SRR898116_1.fastq.gz	SRR898116_GSM1158250_SEQC_ILM_COH_A_1_L06_ATCACG_AC03KTACXX_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR898116	GSM1158250: SEQC_ILM_COH_A_1_L06_ATCACG_AC03KTACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	26397	1437537600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR898/SRR898116/SRR898116.sra	SRR898116.sra	SRR898116_GSM1158250_SEQC_ILM_COH_A_1_L06_ATCACG_AC03KTACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR898/SRR898116/SRR898116_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR898/SRR898116/SRR898116_2.fastq.gz	SRR898116_2.fastq.gz	SRR898116_GSM1158250_SEQC_ILM_COH_A_1_L06_ATCACG_AC03KTACXX_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR898113	GSM1158247: SEQC_ILM_COH_A_1_L03_ATCACG_AC03KTACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	21902	1437537600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR898/SRR898113/SRR898113.sra	SRR898113.sra	SRR898113_GSM1158247_SEQC_ILM_COH_A_1_L03_ATCACG_AC03KTACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR898/SRR898113/SRR898113_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR898/SRR898113/SRR898113_1.fastq.gz	SRR898113_1.fastq.gz	SRR898113_GSM1158247_SEQC_ILM_COH_A_1_L03_ATCACG_AC03KTACXX_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR898113	GSM1158247: SEQC_ILM_COH_A_1_L03_ATCACG_AC03KTACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	21902	1437537600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR898/SRR898113/SRR898113.sra	SRR898113.sra	SRR898113_GSM1158247_SEQC_ILM_COH_A_1_L03_ATCACG_AC03KTACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR898/SRR898113/SRR898113_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR898/SRR898113/SRR898113_2.fastq.gz	SRR898113_2.fastq.gz	SRR898113_GSM1158247_SEQC_ILM_COH_A_1_L03_ATCACG_AC03KTACXX_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR898112	GSM1158246: SEQC_ILM_COH_A_1_L02_ATCACG_AC03KTACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	25967	1437537600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR898/SRR898112/SRR898112.sra	SRR898112.sra	SRR898112_GSM1158246_SEQC_ILM_COH_A_1_L02_ATCACG_AC03KTACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR898/SRR898112/SRR898112_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR898/SRR898112/SRR898112_1.fastq.gz	SRR898112_1.fastq.gz	SRR898112_GSM1158246_SEQC_ILM_COH_A_1_L02_ATCACG_AC03KTACXX_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR898112	GSM1158246: SEQC_ILM_COH_A_1_L02_ATCACG_AC03KTACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	25967	1437537600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR898/SRR898112/SRR898112.sra	SRR898112.sra	SRR898112_GSM1158246_SEQC_ILM_COH_A_1_L02_ATCACG_AC03KTACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR898/SRR898112/SRR898112_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR898/SRR898112/SRR898112_2.fastq.gz	SRR898112_2.fastq.gz	SRR898112_GSM1158246_SEQC_ILM_COH_A_1_L02_ATCACG_AC03KTACXX_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR898115	GSM1158249: SEQC_ILM_COH_A_1_L05_ATCACG_AC03KTACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	26370	1437537600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR898/SRR898115/SRR898115.sra	SRR898115.sra	SRR898115_GSM1158249_SEQC_ILM_COH_A_1_L05_ATCACG_AC03KTACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR898/SRR898115/SRR898115_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR898/SRR898115/SRR898115_1.fastq.gz	SRR898115_1.fastq.gz	SRR898115_GSM1158249_SEQC_ILM_COH_A_1_L05_ATCACG_AC03KTACXX_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR898115	GSM1158249: SEQC_ILM_COH_A_1_L05_ATCACG_AC03KTACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	26370	1437537600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR898/SRR898115/SRR898115.sra	SRR898115.sra	SRR898115_GSM1158249_SEQC_ILM_COH_A_1_L05_ATCACG_AC03KTACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR898/SRR898115/SRR898115_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR898/SRR898115/SRR898115_2.fastq.gz	SRR898115_2.fastq.gz	SRR898115_GSM1158249_SEQC_ILM_COH_A_1_L05_ATCACG_AC03KTACXX_Homo_sapiens_RNA-Seq_2.fastq.gz
