Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
SRR897411	GSM1157545: SEQC_ILM_MAY_A_1_L03_ATCACG_AD0E8UACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	8286	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR897/SRR897411/SRR897411.sra	SRR897411.sra	SRR897411_GSM1157545_SEQC_ILM_MAY_A_1_L03_ATCACG_AD0E8UACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR897/SRR897411/SRR897411_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR897/SRR897411/SRR897411_1.fastq.gz	SRR897411_1.fastq.gz	SRR897411_GSM1157545_SEQC_ILM_MAY_A_1_L03_ATCACG_AD0E8UACXX_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR897411	GSM1157545: SEQC_ILM_MAY_A_1_L03_ATCACG_AD0E8UACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	8286	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR897/SRR897411/SRR897411.sra	SRR897411.sra	SRR897411_GSM1157545_SEQC_ILM_MAY_A_1_L03_ATCACG_AD0E8UACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR897/SRR897411/SRR897411_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR897/SRR897411/SRR897411_2.fastq.gz	SRR897411_2.fastq.gz	SRR897411_GSM1157545_SEQC_ILM_MAY_A_1_L03_ATCACG_AD0E8UACXX_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR897407	GSM1157541: SEQC_ILM_MAY_A_1_L01_ATCACG_AD0E8UACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	8450	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR897/SRR897407/SRR897407.sra	SRR897407.sra	SRR897407_GSM1157541_SEQC_ILM_MAY_A_1_L01_ATCACG_AD0E8UACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR897/SRR897407/SRR897407_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR897/SRR897407/SRR897407_1.fastq.gz	SRR897407_1.fastq.gz	SRR897407_GSM1157541_SEQC_ILM_MAY_A_1_L01_ATCACG_AD0E8UACXX_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR897407	GSM1157541: SEQC_ILM_MAY_A_1_L01_ATCACG_AD0E8UACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	8450	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR897/SRR897407/SRR897407.sra	SRR897407.sra	SRR897407_GSM1157541_SEQC_ILM_MAY_A_1_L01_ATCACG_AD0E8UACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR897/SRR897407/SRR897407_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR897/SRR897407/SRR897407_2.fastq.gz	SRR897407_2.fastq.gz	SRR897407_GSM1157541_SEQC_ILM_MAY_A_1_L01_ATCACG_AD0E8UACXX_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR897408	GSM1157542: SEQC_ILM_MAY_A_1_L01_ATCACG_BD0E99ACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	9071	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR897/SRR897408/SRR897408.sra	SRR897408.sra	SRR897408_GSM1157542_SEQC_ILM_MAY_A_1_L01_ATCACG_BD0E99ACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR897/SRR897408/SRR897408_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR897/SRR897408/SRR897408_1.fastq.gz	SRR897408_1.fastq.gz	SRR897408_GSM1157542_SEQC_ILM_MAY_A_1_L01_ATCACG_BD0E99ACXX_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR897408	GSM1157542: SEQC_ILM_MAY_A_1_L01_ATCACG_BD0E99ACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	9071	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR897/SRR897408/SRR897408.sra	SRR897408.sra	SRR897408_GSM1157542_SEQC_ILM_MAY_A_1_L01_ATCACG_BD0E99ACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR897/SRR897408/SRR897408_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR897/SRR897408/SRR897408_2.fastq.gz	SRR897408_2.fastq.gz	SRR897408_GSM1157542_SEQC_ILM_MAY_A_1_L01_ATCACG_BD0E99ACXX_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR897412	GSM1157546: SEQC_ILM_MAY_A_1_L03_ATCACG_BD0E99ACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	8638	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR897/SRR897412/SRR897412.sra	SRR897412.sra	SRR897412_GSM1157546_SEQC_ILM_MAY_A_1_L03_ATCACG_BD0E99ACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR897/SRR897412/SRR897412_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR897/SRR897412/SRR897412_1.fastq.gz	SRR897412_1.fastq.gz	SRR897412_GSM1157546_SEQC_ILM_MAY_A_1_L03_ATCACG_BD0E99ACXX_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR897412	GSM1157546: SEQC_ILM_MAY_A_1_L03_ATCACG_BD0E99ACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	8638	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR897/SRR897412/SRR897412.sra	SRR897412.sra	SRR897412_GSM1157546_SEQC_ILM_MAY_A_1_L03_ATCACG_BD0E99ACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR897/SRR897412/SRR897412_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR897/SRR897412/SRR897412_2.fastq.gz	SRR897412_2.fastq.gz	SRR897412_GSM1157546_SEQC_ILM_MAY_A_1_L03_ATCACG_BD0E99ACXX_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR897410	GSM1157544: SEQC_ILM_MAY_A_1_L02_ATCACG_BD0E99ACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	8973	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR897/SRR897410/SRR897410.sra	SRR897410.sra	SRR897410_GSM1157544_SEQC_ILM_MAY_A_1_L02_ATCACG_BD0E99ACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR897/SRR897410/SRR897410_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR897/SRR897410/SRR897410_1.fastq.gz	SRR897410_1.fastq.gz	SRR897410_GSM1157544_SEQC_ILM_MAY_A_1_L02_ATCACG_BD0E99ACXX_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR897410	GSM1157544: SEQC_ILM_MAY_A_1_L02_ATCACG_BD0E99ACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	8973	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR897/SRR897410/SRR897410.sra	SRR897410.sra	SRR897410_GSM1157544_SEQC_ILM_MAY_A_1_L02_ATCACG_BD0E99ACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR897/SRR897410/SRR897410_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR897/SRR897410/SRR897410_2.fastq.gz	SRR897410_2.fastq.gz	SRR897410_GSM1157544_SEQC_ILM_MAY_A_1_L02_ATCACG_BD0E99ACXX_Homo_sapiens_RNA-Seq_2.fastq.gz
