Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
SRR897791	GSM1157925: SEQC_ILM_NVS_A_1_L01_ATCACG_AD0902ACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	21184	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR897/SRR897791/SRR897791.sra	SRR897791.sra	SRR897791_GSM1157925_SEQC_ILM_NVS_A_1_L01_ATCACG_AD0902ACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR897/SRR897791/SRR897791_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR897/SRR897791/SRR897791_1.fastq.gz	SRR897791_1.fastq.gz	SRR897791_GSM1157925_SEQC_ILM_NVS_A_1_L01_ATCACG_AD0902ACXX_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR897791	GSM1157925: SEQC_ILM_NVS_A_1_L01_ATCACG_AD0902ACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	21184	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR897/SRR897791/SRR897791.sra	SRR897791.sra	SRR897791_GSM1157925_SEQC_ILM_NVS_A_1_L01_ATCACG_AD0902ACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR897/SRR897791/SRR897791_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR897/SRR897791/SRR897791_2.fastq.gz	SRR897791_2.fastq.gz	SRR897791_GSM1157925_SEQC_ILM_NVS_A_1_L01_ATCACG_AD0902ACXX_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR897795	GSM1157929: SEQC_ILM_NVS_A_1_L03_ATCACG_AD0902ACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	21005	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR897/SRR897795/SRR897795.sra	SRR897795.sra	SRR897795_GSM1157929_SEQC_ILM_NVS_A_1_L03_ATCACG_AD0902ACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR897/SRR897795/SRR897795_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR897/SRR897795/SRR897795_1.fastq.gz	SRR897795_1.fastq.gz	SRR897795_GSM1157929_SEQC_ILM_NVS_A_1_L03_ATCACG_AD0902ACXX_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR897795	GSM1157929: SEQC_ILM_NVS_A_1_L03_ATCACG_AD0902ACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	21005	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR897/SRR897795/SRR897795.sra	SRR897795.sra	SRR897795_GSM1157929_SEQC_ILM_NVS_A_1_L03_ATCACG_AD0902ACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR897/SRR897795/SRR897795_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR897/SRR897795/SRR897795_2.fastq.gz	SRR897795_2.fastq.gz	SRR897795_GSM1157929_SEQC_ILM_NVS_A_1_L03_ATCACG_AD0902ACXX_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR897797	GSM1157931: SEQC_ILM_NVS_A_1_L04_ATCACG_AD0902ACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	21950	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR897/SRR897797/SRR897797.sra	SRR897797.sra	SRR897797_GSM1157931_SEQC_ILM_NVS_A_1_L04_ATCACG_AD0902ACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR897/SRR897797/SRR897797_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR897/SRR897797/SRR897797_1.fastq.gz	SRR897797_1.fastq.gz	SRR897797_GSM1157931_SEQC_ILM_NVS_A_1_L04_ATCACG_AD0902ACXX_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR897797	GSM1157931: SEQC_ILM_NVS_A_1_L04_ATCACG_AD0902ACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	21950	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR897/SRR897797/SRR897797.sra	SRR897797.sra	SRR897797_GSM1157931_SEQC_ILM_NVS_A_1_L04_ATCACG_AD0902ACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR897/SRR897797/SRR897797_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR897/SRR897797/SRR897797_2.fastq.gz	SRR897797_2.fastq.gz	SRR897797_GSM1157931_SEQC_ILM_NVS_A_1_L04_ATCACG_AD0902ACXX_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR897793	GSM1157927: SEQC_ILM_NVS_A_1_L02_ATCACG_AD0902ACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	21171	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR897/SRR897793/SRR897793.sra	SRR897793.sra	SRR897793_GSM1157927_SEQC_ILM_NVS_A_1_L02_ATCACG_AD0902ACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR897/SRR897793/SRR897793_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR897/SRR897793/SRR897793_1.fastq.gz	SRR897793_1.fastq.gz	SRR897793_GSM1157927_SEQC_ILM_NVS_A_1_L02_ATCACG_AD0902ACXX_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR897793	GSM1157927: SEQC_ILM_NVS_A_1_L02_ATCACG_AD0902ACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	21171	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR897/SRR897793/SRR897793.sra	SRR897793.sra	SRR897793_GSM1157927_SEQC_ILM_NVS_A_1_L02_ATCACG_AD0902ACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR897/SRR897793/SRR897793_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR897/SRR897793/SRR897793_2.fastq.gz	SRR897793_2.fastq.gz	SRR897793_GSM1157927_SEQC_ILM_NVS_A_1_L02_ATCACG_AD0902ACXX_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR897794	GSM1157928: SEQC_ILM_NVS_A_1_L02_ATCACG_BD08PVACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	20530	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR897/SRR897794/SRR897794.sra	SRR897794.sra	SRR897794_GSM1157928_SEQC_ILM_NVS_A_1_L02_ATCACG_BD08PVACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR897/SRR897794/SRR897794_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR897/SRR897794/SRR897794_1.fastq.gz	SRR897794_1.fastq.gz	SRR897794_GSM1157928_SEQC_ILM_NVS_A_1_L02_ATCACG_BD08PVACXX_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR897794	GSM1157928: SEQC_ILM_NVS_A_1_L02_ATCACG_BD08PVACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	20530	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR897/SRR897794/SRR897794.sra	SRR897794.sra	SRR897794_GSM1157928_SEQC_ILM_NVS_A_1_L02_ATCACG_BD08PVACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR897/SRR897794/SRR897794_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR897/SRR897794/SRR897794_2.fastq.gz	SRR897794_2.fastq.gz	SRR897794_GSM1157928_SEQC_ILM_NVS_A_1_L02_ATCACG_BD08PVACXX_Homo_sapiens_RNA-Seq_2.fastq.gz
