Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
SRR1215998	GSM1361976: SEQC_ILM_NYG_A_1_L04_ATCACG_AC132FACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	21863	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR121/SRR1215998/SRR1215998.sra	SRR1215998.sra	SRR1215998_GSM1361976_SEQC_ILM_NYG_A_1_L04_ATCACG_AC132FACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/008/SRR1215998/SRR1215998_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR121/008/SRR1215998/SRR1215998_1.fastq.gz	SRR1215998_1.fastq.gz	SRR1215998_GSM1361976_SEQC_ILM_NYG_A_1_L04_ATCACG_AC132FACXX_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR1215998	GSM1361976: SEQC_ILM_NYG_A_1_L04_ATCACG_AC132FACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	21863	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR121/SRR1215998/SRR1215998.sra	SRR1215998.sra	SRR1215998_GSM1361976_SEQC_ILM_NYG_A_1_L04_ATCACG_AC132FACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/008/SRR1215998/SRR1215998_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR121/008/SRR1215998/SRR1215998_2.fastq.gz	SRR1215998_2.fastq.gz	SRR1215998_GSM1361976_SEQC_ILM_NYG_A_1_L04_ATCACG_AC132FACXX_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR1215997	GSM1361975: SEQC_ILM_NYG_A_1_L03_ATCACG_AC132FACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	21367	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR121/SRR1215997/SRR1215997.sra	SRR1215997.sra	SRR1215997_GSM1361975_SEQC_ILM_NYG_A_1_L03_ATCACG_AC132FACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/007/SRR1215997/SRR1215997_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR121/007/SRR1215997/SRR1215997_1.fastq.gz	SRR1215997_1.fastq.gz	SRR1215997_GSM1361975_SEQC_ILM_NYG_A_1_L03_ATCACG_AC132FACXX_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR1215997	GSM1361975: SEQC_ILM_NYG_A_1_L03_ATCACG_AC132FACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	21367	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR121/SRR1215997/SRR1215997.sra	SRR1215997.sra	SRR1215997_GSM1361975_SEQC_ILM_NYG_A_1_L03_ATCACG_AC132FACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/007/SRR1215997/SRR1215997_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR121/007/SRR1215997/SRR1215997_2.fastq.gz	SRR1215997_2.fastq.gz	SRR1215997_GSM1361975_SEQC_ILM_NYG_A_1_L03_ATCACG_AC132FACXX_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR1215996	GSM1361974: SEQC_ILM_NYG_A_1_L02_ATCACG_AC132FACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	21870	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR121/SRR1215996/SRR1215996.sra	SRR1215996.sra	SRR1215996_GSM1361974_SEQC_ILM_NYG_A_1_L02_ATCACG_AC132FACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/006/SRR1215996/SRR1215996_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR121/006/SRR1215996/SRR1215996_1.fastq.gz	SRR1215996_1.fastq.gz	SRR1215996_GSM1361974_SEQC_ILM_NYG_A_1_L02_ATCACG_AC132FACXX_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR1215996	GSM1361974: SEQC_ILM_NYG_A_1_L02_ATCACG_AC132FACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	21870	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR121/SRR1215996/SRR1215996.sra	SRR1215996.sra	SRR1215996_GSM1361974_SEQC_ILM_NYG_A_1_L02_ATCACG_AC132FACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/006/SRR1215996/SRR1215996_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR121/006/SRR1215996/SRR1215996_2.fastq.gz	SRR1215996_2.fastq.gz	SRR1215996_GSM1361974_SEQC_ILM_NYG_A_1_L02_ATCACG_AC132FACXX_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR1216000	GSM1361978: SEQC_ILM_NYG_A_1_L06_ATCACG_AC132FACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	21463	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR121/SRR1216000/SRR1216000.sra	SRR1216000.sra	SRR1216000_GSM1361978_SEQC_ILM_NYG_A_1_L06_ATCACG_AC132FACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/000/SRR1216000/SRR1216000_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR121/000/SRR1216000/SRR1216000_1.fastq.gz	SRR1216000_1.fastq.gz	SRR1216000_GSM1361978_SEQC_ILM_NYG_A_1_L06_ATCACG_AC132FACXX_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR1216000	GSM1361978: SEQC_ILM_NYG_A_1_L06_ATCACG_AC132FACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	21463	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR121/SRR1216000/SRR1216000.sra	SRR1216000.sra	SRR1216000_GSM1361978_SEQC_ILM_NYG_A_1_L06_ATCACG_AC132FACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/000/SRR1216000/SRR1216000_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR121/000/SRR1216000/SRR1216000_2.fastq.gz	SRR1216000_2.fastq.gz	SRR1216000_GSM1361978_SEQC_ILM_NYG_A_1_L06_ATCACG_AC132FACXX_Homo_sapiens_RNA-Seq_2.fastq.gz
SRR1216001	GSM1361979: SEQC_ILM_NYG_A_1_L07_ATCACG_AC132FACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	21706	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR121/SRR1216001/SRR1216001.sra	SRR1216001.sra	SRR1216001_GSM1361979_SEQC_ILM_NYG_A_1_L07_ATCACG_AC132FACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/001/SRR1216001/SRR1216001_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR121/001/SRR1216001/SRR1216001_1.fastq.gz	SRR1216001_1.fastq.gz	SRR1216001_GSM1361979_SEQC_ILM_NYG_A_1_L07_ATCACG_AC132FACXX_Homo_sapiens_RNA-Seq_1.fastq.gz
SRR1216001	GSM1361979: SEQC_ILM_NYG_A_1_L07_ATCACG_AC132FACXX; Homo sapiens; RNA-Seq	Illumina HiSeq 2000	21706	1407729600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR121/SRR1216001/SRR1216001.sra	SRR1216001.sra	SRR1216001_GSM1361979_SEQC_ILM_NYG_A_1_L07_ATCACG_AC132FACXX_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR121/001/SRR1216001/SRR1216001_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR121/001/SRR1216001/SRR1216001_2.fastq.gz	SRR1216001_2.fastq.gz	SRR1216001_GSM1361979_SEQC_ILM_NYG_A_1_L07_ATCACG_AC132FACXX_Homo_sapiens_RNA-Seq_2.fastq.gz
